,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail - Autio Array - Amazon Now;Cambium Retail Private Limited - Master - PC - MH;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/07/25 - 31/07/25],Report Updated=[04/08/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA75673,AM-C1,B0B4DPX2J2,"Audio Array USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable | AM-C1",Audio Array,IN,3230016.55,1433,0,0,1426,308
FBA76864,AI-04 Red,B0BPLZ5CGV,Audio Array AI-04 HD 2 in 3 Out Gen 3 Audio Interface | 3 Yr Warranty | Premium Mic Pre-Amps | +48V | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | Metal Body | Red,Audio Array,IN,2513783.59,683,0,0,679,174
FBA79380,AM-C46,B0D3M1B4Z8,"Audio Array Professional RGB USB Condenser Mic Kit | AI Noise-Cancellation, Mute, Monitoring & Volume Controls | 192kHz/24bit Studio Quality | Gaming, Streaming, Podcast | Mac/PC/Mobile | AM-C46",Audio Array,IN,921159.61,306,0,0,305,53
FBA79005,AM-W45,B0CKHVHVQ1,"Audio Array Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting | AM-W45",Audio Array,IN,429131.28,102,0,0,101,9
FBA79103,AI-10,B0CM6NTWBP,"Audio Array Sound Card Audio Interface | AI-10 Audio Mixer with Bluetooth, 3 Condenser Mic Inputs, +48V Phantom Power, Voice Modes, Denoise & Built-In FX for Gaming, Karaoke & Live Streaming",Audio Array,IN,291028.88,124,0,0,118,34
FBA79011,AM-C43,B0CH4RNWJX,"Audio Array XLR to 3.5mm Professional Condenser Microphone Kit | Boom Arm, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black) | AM-C43",Audio Array,IN,245393.37,117,0,0,113,28
FBA76862,AM-C28,B0BPLWW72Y,Audio Array USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker) | AM-C28,Audio Array,IN,223646.82,166,0,0,165,20
FBA78973,AA-19,B0CF5R3V95,"Audio Array Mic Stand For Table | Steel & Aluminum High & Low Profile Boom Mic Arm Stand with Built-In Cable Management | 360° Rotation | 2Kg Load Capacity | Streaming, Podcasting & Studio Recording",Audio Array,IN,201770.17,62,0,0,59,5
FBA79109,AM-W18,B0CM9HYVDM,Audio Array Mike for Kids with Speaker | AM-W18 Karaoke mic with Speaker | Karoke Speaker with Bluetooth and Wireless Microphone for Adults | Bluetooth v5.3 | Voice Changer | SD Card & AUX | 8+ Hrs,Audio Array,IN,198182.03,195,0,0,193,16
