ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B01ISNU3X4,FBA77113,Tonor,K1,Dynamic Microphone,Hand held Mic,,134,202869.12,134,0.0,9,1p Sales,2026-07,2026-07-01,2026-07-31
B078WNW4YW,FBA77117,Tonor,S20,Accessories,Microphone Isolation Shield,,20,43505.04,20,0.0,4,1p Sales,2026-07,2026-07-01,2026-07-31
B07GVGMW59,FBK77102,Tonor,G11,Conference Microphone,Wired,,70,159110.02,69,0.0,18,1p Sales,2026-07,2026-07-01,2026-07-31
B07TSN2H9D,FBA77114,Tonor,TC-2030,Condenser Microphone,Boom Arm Kit - USB,,1,3388.98,1,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B07WLWN2ZT,FBA77101,Tonor,TC-777,Condenser Microphone,Tripod,,25,42125.39,25,0.0,7,1p Sales,2026-07,2026-07-01,2026-07-31
B082W4B7SX,FBA77106,Tonor,T20,Accessories,Boom Arm Kit,,1,1927.97,1,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B089FVQD3Z,FBA77105,Tonor,T30,Accessories,Boom Arm Kit,,5,11733.04,5,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B08CVP2HXP,FBA77111,Tonor,TC30,Condenser Microphone,Tripod,,66,122000.05,66,0.0,9,1p Sales,2026-07,2026-07-01,2026-07-31
B08NDB5NWP,FBA77110,Tonor,TM20,Conference Microphone,Wired,,44,111115.33,45,0.0,7,1p Sales,2026-07,2026-07-01,2026-07-31
B08V1JS3NY,FBA77115,Tonor,TC40,Condenser Microphone,Boom Arm Kit - USB,,3,8387.28,3,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B09Z5Q194D,FBA77103,Tonor,ORCA001,Condenser Microphone,Stand,,1,3219.49,1,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0B4WTHLX5,FBA79574,Tonor,TC30S,Condenser Microphone,Tripod+RGB,,6,12605.1,6,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0BBL47VR5,FBA77116,Tonor,TC40S,Condenser Microphone,Boom Arm Kit - USB - RGB,,1,2965.26,1,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0BG8CJXHH,FBA79575,Tonor,TC30+,Condenser Microphone,Boom Arm Kit,,3,7116.09,3,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0BRCR2QQ7,FBA79576,Tonor,TC30S+,Condenser Microphone,Boom Arm Kit + RGB,,2,4744.08,2,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0BRKFP94K,FBA79111,Tonor,TD510,Dynamic Microphone,USB/XLR Mic,,5,16817.78,5,0.0,3,1p Sales,2026-07,2026-07-01,2026-07-31
B0BTCXQQ6M,FBA79113,Tonor,TC310,Condenser Microphone,Tripod - RGB,,11,22956.82,11,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0BYHHSLPC,FBA79116,Tonor,TC-777 PRO,Condenser Microphone,Tripod - RGB,,67,118666.11,70,0.0,11,1p Sales,2026-07,2026-07-01,2026-07-31
B0C8JDHLX9,FBA79115,Tonor,T10,Accessories,Boom Arm Kit,,0,0.0,0,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
B0CCV74CL7,FBA79114,Tonor,TC310+,Condenser Microphone,Boom Arm Kit - USB - RGB,,25,61165.26,23,0.0,6,1p Sales,2026-07,2026-07-01,2026-07-31
B0CFKHCQ8W,FBA79585,Tonor,T20LP,Accessories,Low Profile Boom Arm,,13,22997.42,13,0.0,1,1p Sales,2026-07,2026-07-01,2026-07-31
B0CQX3VB1R,FBA79696,Tonor,TD310+,Dynamic Microphone,Hand held Mic + Boom Arm,,14,25920.35,16,0.0,2,1p Sales,2026-07,2026-07-01,2026-07-31
B0CQX4K9P5,FBA79697,Tonor,TD310,Dynamic Microphone,Hand held Mic + Stand,,65,103177.9,63,0.0,20,1p Sales,2026-07,2026-07-01,2026-07-31
B0CSCT63BL,FBA79577,Tonor,TM310,Conference Microphone,Wired,,7,13977.15,7,0.0,0,1p Sales,2026-07,2026-07-01,2026-07-31
