SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,units_ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,ordered_product_sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79813,AH-50,B0FG88HVQ8,B0FG88HVQ8,"Audio Array AH-50 Professional DJ Headphone | 50mm Drivers | 32Ω | 20Hz-20kHz | Dual Detachable Cables With Mic & Controls | Buddy Share Technology | 105 dB SPL | One Ear Listening | Monitoring,Mixing","2,919",52,3.43%,2.74%,"4,355",80,3.69%,3.00%,29.53%,38.00%,29,3,0.99%,5.77%,"₹ 58,030.00","₹ 5,997.00",29,3
FBA79105,AI-12,B0CM6WH4ZT,B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",583,10,0.68%,0.53%,800,11,0.68%,0.41%,84.11%,100.00%,10,0,1.72%,0.00%,"₹ 10,196.11",₹ 0.00,10,0
FBA79903,AA-25M,B0FR5DLXH9,B0FR5DLXH9,"Audio Array AA-25 Metal Handheld Microphone Interview Adapter with Wind Shield for Wireless Lapel Microphones | Supports, Rode Go, DJI, Hollyland mics etc | Foam Cover with Built-in Cold Shoe Mount",130,5,0.15%,0.26%,193,7,0.16%,0.26%,100.00%,100.00%,9,0,6.92%,0.00%,"₹ 6,542.00",₹ 0.00,9,0
FBK79009,AM-C41,B0FLYHJ6DK,B0FLYHJ6DK,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile",302,9,0.35%,0.47%,469,13,0.40%,0.49%,100.00%,100.00%,7,0,2.32%,0.00%,"₹ 11,343.00",₹ 0.00,7,0
FBA75681,AM-C7,B0B4FZS38V,B0B4FZS38V,"Audio Array AM-C7 USB 2 in 1 Plug & Play Condenser Microphone Kit with Boom Arm | 3.5 mm No Latency Monitoring, Volume Control & Mute Button| for Conference, Gaming, Podcasting & Live Streaming",274,4,0.32%,0.21%,392,5,0.33%,0.19%,99.45%,100.00%,7,0,2.55%,0.00%,"₹ 14,958.00",₹ 0.00,6,0
FBA75689,AM-W13,B0B4G59Y8W,B0B4G59Y8W,"Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box",293,9,0.34%,0.47%,454,12,0.38%,0.45%,84.82%,87.50%,6,0,2.05%,0.00%,"₹ 11,394.00",₹ 0.00,6,0
FBK79708,SB-01,B0FJS7JZ4V,B0FJS7JZ4V,"Audio Array SB-01 25W | 2.0 Sound Bar Speaker | BT v5.3 AUX, USB, TF Card, TWS Connectivity | Inbuilt FM Radio | Build in Mics | Dynamic LED Lights",336,8,0.39%,0.42%,442,10,0.37%,0.37%,100.00%,100.00%,6,0,1.79%,0.00%,"₹ 7,494.00",₹ 0.00,6,0
FBA78973,AA-19,B0CF5R3V95,B0CF5R3V95,"Audio Array AA-19 2in1 High & Low Profile Mic Stand | 71cm reach | Premium Metal design with Built In Cable Management | Flexible Position adjustments | 2Kg Weight Capacity |5/8"" to 3/8"" Screw Adapter",667,38,0.78%,2.00%,969,55,0.82%,2.06%,8.40%,32.35%,4,0,0.60%,0.00%,"₹ 15,196.00",₹ 0.00,4,0
FBA79821,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",B0FJ2JJZL3,B0FJ2JJZL3,"Audio Array Professional Studio Bundle with 24-Bit/192kHz Audio Interface, 4"" Studio Monitors, Condenser Mic & Stands | for Music Production, Podcasting, Dubbing, Recording & Audio Mixing - UB-01","1,250",26,1.47%,1.37%,"1,542",30,1.31%,1.12%,87.93%,94.44%,4,0,0.32%,0.00%,"₹ 75,996.00",₹ 0.00,4,0
FBA79838,AH-40 SL,B0FQBX8J17,B0FQBX8J17,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL Sound, Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility",210,3,0.25%,0.16%,286,4,0.24%,0.15%,32.37%,50.00%,4,0,1.90%,0.00%,"₹ 4,676.00",₹ 0.00,4,0
