Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/01/26 - 31/01/26],Brands=[7G03N],Report Updated=[23/03/26],
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA76864,AI-04 Red,B0BPLZ5CGV,Audio Array AI-04 2x2 Gen 3 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power Support | 24bit/192kHz High Fidelity Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | Metal Body | Red,Audio Array,IN,"₹ 21,87,883.22",548,₹ 0.00,₹ 0.00,535,163
FBA75673,AM-C1,B0B4DPX2J2,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",Audio Array,IN,"₹ 17,22,134.01",771,₹ 0.00,₹ 0.00,760,162
FBA79482,AM-S1,B0DXFPM4N2,"Audio Array AM-S1 BT v5.3 |Professional 4"" Studio Monitor Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USB C, TRS, RCA",Audio Array,IN,"₹ 9,74,092.58",132,₹ 0.00,₹ 0.00,134,47
FBA79380,AM-C46,B0D3M1B4Z8,"Audio Array AM-C46 Professional RGB USB Condenser Microphone Kit | Noise-Cancellation, Mute, Monitoring & Volume Controls | 192kHz/24bit Studio Quality | Gaming, Streaming, Podcast | Mac/PC/Mobile",Audio Array,IN,"₹ 4,50,986.58",151,₹ 0.00,₹ 0.00,145,25
FBA79813,AH-50,B0FG88HVQ8,"Audio Array AH-50 Professional DJ Headphone | 50mm Drivers | 32Ω | 20Hz-20kHz | Dual Detachable Cables With Mic & Controls | Buddy Share Technology | 105 dB SPL | One Ear Listening | Monitoring,Mixing",Audio Array,IN,"₹ 4,26,905.04",252,₹ 0.00,₹ 0.00,246,38
FBA79005,AM-W45,B0CKHVHVQ1,"Audio Array AM-W45 Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting",Audio Array,IN,"₹ 2,63,422.87",61,₹ 0.00,₹ 0.00,61,4
FBA79961,AI-13,B0G53H49BS,"Audio Array AI-13 2026 Edition 4-Channel Hybrid USB Summing Mixer 4 Analog+2 Digital, 48kHz/16-Bit, 2XLR Mic Inputs,TRS Stereo In, 48V Phantom, Hi-Z,2 Band EQ,Monitoring,Amp Out, USB-C Power",Audio Array,IN,"₹ 2,53,889.01",111,₹ 0.00,₹ 0.00,110,14
FBA78975,AA-21,B0CF5TCQKL,"Audio Array AA-21 Desktop Mount Speaker Stands | 15KG Capacity | Height, Tilt & Rotation Adjustable | Smart Cable Management | for Sound Editing, Gaming, Music Production | Black (Set of 2)",Audio Array,IN,"₹ 2,10,123.79",67,₹ 0.00,₹ 0.00,65,11
FBA79103,AI-10,B0CM6NTWBP,"Audio Array AI-10 Professional Live Soundcard|1Ch Mixer |Bluetooth | 3 Condenser Mic Inputs, 2 mobilephones & PC/Mac Outputs | +48V phantom power, 4 Voice Modes, Denoise, built-in FX | Gaming, Karaoke",Audio Array,IN,"₹ 1,89,878.46",75,₹ 0.00,₹ 0.00,79,30
