(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FN4D3C89,B0FN4D3C89,"White Mulberry Economy Fixed TV Wall Mount Bracket for 13-43 Inches |45kg|LED/LCD/Smart TV's, Universal VESA Compatible 75x75,200x200 mm MAX Slim Wall Mount Stand",773,45,0.34%,1.06%,"1,165",59,0.39%,1.01%,100.00%,100.00%,34,1,4.40%,2.22%,"₹16,845.00",₹513.00,33,1
B0DQCWRG3H,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,"4,986",16,2.22%,0.38%,"6,988",23,2.33%,0.39%,28.82%,0.00%,29,0,0.58%,0.00%,"₹56,334.00",₹0.00,29,0
B0DFD123P5,B0DFD123P5,"Nexlev MultiPurpose Electric Food Kettle|1.5 L Ceramic Pot | 600W| Boil, Steam, Fry, Saute| Double Layered Body| 2 Temperature Settings| Multi Cooker for Water, Egg, Tea, Soup, Noodles, Rice| KE-02","2,095",32,0.93%,0.75%,"3,137",54,1.05%,0.92%,89.54%,84.00%,27,0,1.29%,0.00%,"₹43,173.00",₹0.00,27,0
B0DCGHVN81,B0DCGHVN81,NexLev 2 in 1 Handheld & Stick Vacuum Cleaner | 17500 PA Suction | Dry Vacuuming for Home & Office | Washable HEPA Filter | 4 Adjustable Heads | Bagless| Deep Cleaning for Sofa Bed Window & more|VC-01,"4,624",35,2.06%,0.82%,"6,591",45,2.20%,0.77%,39.92%,33.33%,26,0,0.56%,0.00%,"₹49,975.00",₹0.00,26,0
B0DCK7ZH5P,B0DCK7ZH5P,"NexLev Mattress, Sofa, Carpet & Car Seat Vacuum Cleaner|For Dust Mites Allergens & Pet Hair|Cordless Design|1500*3 mAh |UV Sterilization, Double Beat Technology|Type C| HEPA captures 99.99% Dust|MR-02","7,659",144,3.41%,3.39%,"9,118",176,3.04%,3.01%,48.32%,51.76%,22,2,0.29%,1.39%,"₹74,041.00","₹6,798.00",22,2
B0D67727VG,B0D67727VG,NexLev LED Therapy Oil Applicator | Reduce Dandruff | Improve Hair Growth | EMS for Scalp Improvement | Red & Blue Light | High Frequency Massage for Better Absorption | 10 ML | Waterproof | EA-01,950,31,0.42%,0.73%,"1,309",43,0.44%,0.74%,70.50%,66.67%,22,2,2.32%,6.45%,"₹24,178.00","₹2,198.00",21,2
B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",568,16,0.25%,0.38%,807,21,0.27%,0.36%,70.49%,66.67%,21,0,3.70%,0.00%,"₹33,584.00",₹0.00,21,0
B0DVC7VJP1,B0DVC7VJP1,"NexLev Stand Mixer |5.5L SS Bowl | 1500W |10 Speeds | Pulse Function |Planetary Rotation | Whisk, Beater & Dough Hook|100% Copper Motor | For Roti & Cookie Dough, Cake Making, Whip Cream & more |ST-01","1,711",28,0.76%,0.66%,"2,279",38,0.76%,0.65%,86.61%,0.00%,14,0,0.82%,0.00%,"₹83,706.00",₹0.00,14,0
B0BTCXQQ6M,B0BTCXQQ6M,"TONOR Gaming Mic, USB Microphone for PC Computer, Cardioid Condenser Mic with Adjustable RGB Modes & Brightness, Quick Mute, Gain Control, for Streaming, Podcasting, Recording, PS4/5 Desktop TC310",473,10,0.21%,0.24%,816,16,0.27%,0.27%,86.27%,14.29%,13,0,2.75%,0.00%,"₹28,587.00",₹0.00,13,0
B0FN4DSQ6P,B0FN4DSQ6P,"White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand",585,33,0.26%,0.78%,901,45,0.30%,0.77%,21.37%,0.00%,13,0,2.22%,0.00%,"₹9,487.00",₹0.00,13,0
B0CDPMX152,B0CDPMX152,NexLev Handheld Garment Steamer | 1500 Watts | 300 ML| Standing & Horizontal Iron Press | Damage Free Steaming for all Cloth Types | 25s Quick Heat |Upto 5 Clothes in One Fill | Travel Friendly |GS-02,"3,472",27,1.54%,0.64%,"4,564",40,1.52%,0.68%,16.27%,50.00%,11,0,0.32%,0.00%,"₹22,550.00",₹0.00,11,0
B0DB5VG39T,B0DB5VG39T,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity|VESA 75X75&100X100| Adjustable Metal Desk Monitor Mount-(Single Screen),"1,457",78,0.65%,1.84%,"2,113",105,0.70%,1.80%,10.52%,0.00%,12,1,0.82%,1.28%,"₹27,439.00","₹2,509.00",11,1
