ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B01ISNU3X4,FBA77113,Tonor,K1,Dynamic Microphone,Hand held Mic,,157,233459.66,158,0.0,19,1p Sales,Aug26,2026-08-01,2026-08-31
B078WNW4YW,FBA77117,Tonor,S20,Accessories,Microphone Isolation Shield,,12,26049.12,12,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B07GVGMW59,FBK77102,Tonor,G11,Conference Microphone,Wired,,58,128982.16,59,0.0,10,1p Sales,Aug26,2026-08-01,2026-08-31
B07TSN2H9D,FBA77114,Tonor,TC-2030,Condenser Microphone,Boom Arm Kit - USB,,0,0.0,0,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B07WLWN2ZT,FBA77101,Tonor,TC-777,Condenser Microphone,Tripod,,23,37593.24,23,0.0,10,1p Sales,Aug26,2026-08-01,2026-08-31
B082W4B7SX,FBA77106,Tonor,T20,Accessories,Boom Arm Kit,,1,1927.97,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B089FVQD3Z,FBA77105,Tonor,T30,Accessories,Boom Arm Kit,,1,2450.84,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B08CVP2HXP,FBA77111,Tonor,TC30,Condenser Microphone,Tripod,,64,118349.23,65,0.0,12,1p Sales,Aug26,2026-08-01,2026-08-31
B08NDB5NWP,FBA77110,Tonor,TM20,Conference Microphone,Wired,,33,82273.82,32,0.0,4,1p Sales,Aug26,2026-08-01,2026-08-31
B08V1JS3NY,FBA77115,Tonor,TC40,Condenser Microphone,Boom Arm Kit - USB,,4,10877.96,4,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B09Z5Q194D,FBA77103,Tonor,ORCA001,Condenser Microphone,Stand,,1,3219.5,1,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0B4WTHLX5,FBA79574,Tonor,TC30S,Condenser Microphone,Tripod+RGB,,2,4128.82,2,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0BG8CJXHH,FBA79575,Tonor,TC30+,Condenser Microphone,Boom Arm Kit,,5,9794.13,5,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B0BRCR2QQ7,FBA79576,Tonor,TC30S+,Condenser Microphone,Boom Arm Kit + RGB,,5,11385.59,5,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0BRKFP94K,FBA79111,Tonor,TD510,Dynamic Microphone,USB/XLR Mic,,2,6650.84,2,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0BTCXQQ6M,FBA79113,Tonor,TC310,Condenser Microphone,Tripod - RGB,,8,16094.95,8,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0BYHHSLPC,FBA79116,Tonor,TC-777 PRO,Condenser Microphone,Tripod - RGB,,71,124610.98,71,0.0,8,1p Sales,Aug26,2026-08-01,2026-08-31
B0CCV74CL7,FBA79114,Tonor,TC310+,Condenser Microphone,Boom Arm Kit - USB - RGB,,34,82286.5,36,0.0,5,1p Sales,Aug26,2026-08-01,2026-08-31
B0CCVBQRFX,FBA79582,Tonor,TD510+,Dynamic Microphone,Hand held Mic + Boom Arm,,1,5083.9,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0CFKHCQ8W,FBA79585,Tonor,T20LP,Accessories,Low Profile Boom Arm,,3,5373.72,2,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0CQX3VB1R,FBA79696,Tonor,TD310+,Dynamic Microphone,Hand held Mic + Boom Arm,,28,49672.9,27,0.0,5,1p Sales,Aug26,2026-08-01,2026-08-31
B0CQX4K9P5,FBA79697,Tonor,TD310,Dynamic Microphone,Hand held Mic + Stand,,81,132109.37,79,0.0,15,1p Sales,Aug26,2026-08-01,2026-08-31
B0CSCT63BL,FBA79577,Tonor,TM310,Conference Microphone,Wired,,6,11944.07,5,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
