SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79813,AH-50,B0FG88HVQ8,B0FG88HVQ8,"Audio Array AH-50 Professional DJ Headphone | 50mm Drivers | 32Ω | 20Hz-20kHz | Dual Detachable Cables With Mic & Controls | Buddy Share Technology | 105 dB SPL | One Ear Listening | Monitoring,Mixing","9,829",160,3.20%,2.43%,"14,873",273,3.51%,2.95%,31.04%,40.98%,141,11,1.43%,6.88%,"₹ 2,31,833.18","₹ 21,689.15",135,6
FBA79961,AI-13,B0G53H49BS,B0G53H49BS,"Audio Array AI-13 2026 Edition 4-Channel Hybrid USB Summing Mixer 4 Analog+2 Digital, 48kHz/16-Bit, 2XLR Mic Inputs,TRS Stereo In, 48V Phantom, Hi-Z,2 Band EQ,Monitoring,Amp Out, USB-C Power","10,668",229,3.48%,3.47%,"15,713",333,3.71%,3.60%,33.27%,35.00%,53,5,0.50%,2.18%,"₹ 1,12,072.68","₹ 13,495.00",53,5
FBA79482,AM-S1,B0DXFPM4N2,B0DXFPM4N2,"Audio Array AM-S1 BT v5.3 |Professional 4"" Studio Monitor Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USB C, TRS, RCA","24,637",502,8.03%,7.62%,"34,409",713,8.12%,7.71%,17.37%,14.25%,35,2,0.14%,0.40%,"₹ 2,35,311.86","₹ 17,298.00",35,2
FBA79903,AA-25M,B0FR5DLXH9,B0FR5DLXH9,"Audio Array AA-25 Metal Handheld Microphone Interview Adapter with Wind Shield for Wireless Lapel Microphones | Supports, Rode Go, DJI, Hollyland mics etc | Foam Cover with Built-in Cold Shoe Mount",738,26,0.24%,0.39%,"1,136",42,0.27%,0.45%,100.00%,100.00%,32,6,4.34%,23.08%,"₹ 21,648.31","₹ 5,094.00",30,4
FBA77171,AC-6XL,B0CH4VCD6R,B0CH4VCD6R,"Audio Array AC-6XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (6 Meter/19.6 Feet)","1,538",56,0.50%,0.85%,"2,289",80,0.54%,0.86%,21.40%,30.61%,27,4,1.76%,7.14%,"₹ 13,241.53","₹ 2,316.00",26,3
FBA79105,AI-12,B0CM6WH4ZT,B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming","3,064",62,1.00%,0.94%,"4,041",82,0.95%,0.89%,55.32%,47.17%,26,0,0.85%,0.00%,"₹ 28,699.15",₹ 0.00,26,0
FBA79694,AA-26,B0DT6T6N6B,B0DT6T6N6B,"Audio Array AA-26 Tabletop Metal Microphone Stand | Extendable height up to 22cm | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base","2,793",119,0.91%,1.81%,"3,889",194,0.92%,2.10%,14.35%,11.30%,27,1,0.97%,0.84%,"₹ 11,842.37",₹ 549.00,26,1
FBA79839,AH-45 BK,B0FQBXS6Y2,B0FQBXS6Y2,"Audio Array AH-45-BK Studio Monitoring & Live Recording Headphones | 20-20KHz, 32 Ω, 100dB SPL | 40mm Depp Bass Closed-Back Driver | 3m OFC Cable | 3.5mm + 6.3mm Adapter (Black)","4,296",58,1.40%,0.88%,"6,009",93,1.42%,1.01%,13.26%,14.55%,23,2,0.54%,3.45%,"₹ 28,918.64","₹ 3,098.00",21,2
FBA75681,AM-C7,B0B4FZS38V,B0B4FZS38V,"Audio Array AM-C7 USB 2 in 1 Plug & Play Condenser Microphone Kit with Boom Arm | 3.5 mm No Latency Monitoring, Volume Control & Mute Button| for Conference, Gaming, Podcasting & Live Streaming",899,9,0.29%,0.14%,"1,338",14,0.32%,0.15%,98.70%,100.00%,21,2,2.34%,22.22%,"₹ 38,965.25","₹ 4,398.00",19,1
FBA79968,AI-14,B0G53M9258,B0G53M9258,"Audio Array AI-14 8-Channel Hybrid USB Audio Mixer with 8 Analog + 2 Digital Inputs, 48kHz/16-Bit Processing, +50dB Gain, Combo XLR, Phantom Power, Hi-Z, 3-Band EQ, 99 DSP FX, Balanced XLR Output","5,451",103,1.78%,1.56%,"7,517",147,1.77%,1.59%,49.87%,45.95%,19,0,0.35%,0.00%,"₹ 99,122.18",₹ 0.00,19,0
FBA79005,AM-W45,B0CKHVHVQ1,B0CKHVHVQ1,"Audio Array AM-W45 Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting","2,689",235,0.88%,3.57%,"3,635",324,0.86%,3.50%,26.75%,32.53%,19,6,0.71%,2.55%,"₹ 82,102.54","₹ 30,594.00",18,6
