,,Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/04/26 - 30/04/26],Report Updated=[03/05/26]
SKU,Model,ASIN,Product Title,Brand,Store Code,Ordered Revenue,Ordered Units,Shipped Revenue,Shipped COGS,Shipped Units,Customer Returns
FBA76864,AI-04 Red,B0BPLZ5CGV,Audio Array AI-04 HD 2x2 Gen 3 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | 2 in 3 out | Metal Body | Red,Audio Array,IN,"₹ 21,52,347.09",532,₹ 0.00,₹ 0.00,524,117
FBA75673,AM-C1,B0B4DPX2J2,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",Audio Array,IN,"₹ 19,42,620.48",870,₹ 0.00,₹ 0.00,857,150
FBA79848,AM-S2,B0GN97RFPR,"Audio Array Studio Monitors Speaker Pair 3.5"" | 50W RMS with Bluetooth 5.0 | Fiberglass Woofer & 1″ Silk Dome Tweeter, Class-D | TI 3116D2 Amp | TRS, RCA, AUX Inputs, Bass & Treble Control | AM-S2",Audio Array,IN,"₹ 10,86,653.87",188,₹ 0.00,₹ 0.00,188,27
FBA79482,AM-S1,B0DXFPM4N2,"Audio Array AM-S1 BT v5.3 |Professional 4"" Studio Monitors Speaker Pair| 60W Class D Amplification,Woven Composite Woofer,1"" Silk-Dome Tweeter,EQ Controls|Music/Monitor Mode, Aux, HDMI, USBC, TRS, RCA",Audio Array,IN,"₹ 8,17,362.71",110,₹ 0.00,₹ 0.00,110,29
FBA79813,AH-50,B0FG88HVQ8,"Audio Array Professional DJ Headphones| Studio Headphone| 50mm Drivers| 32Ω | 20Hz-20kHz | Dual Detachable Cables with Mic & Controls| Buddy Share Technology | 105 dB SPL | Monitoring,Mixing| AH-50",Audio Array,IN,"₹ 5,98,005.37",353,₹ 0.00,₹ 0.00,347,56
FBA79961,AI-13,B0G53H49BS,"Audio Array Sound Mixer 2026 Edition Audio Mixer 4 Channel Hybrid USB Control | 4 Analog 2 Digital | 2XLR Mic Inputs,TRS Stereo In |48V Phantom | Hi-Z,2 Band EQ,Monitoring,Amp Out, USB-C Power | AI-13",Audio Array,IN,"₹ 5,75,409.15",246,₹ 0.00,₹ 0.00,240,46
FBA79005,AM-W45,B0CKHVHVQ1,"Audio Array AM-W45 Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting",Audio Array,IN,"₹ 5,73,234.90",133,₹ 0.00,₹ 0.00,133,14
FBA78975,AA-21,B0CF5TCQKL,"Audio Array AA-21 Speaker Stand Pair | 15KG Capacity | Height, Tilt & Rotation Adjustable | Steel Build | Smart Cable Management | Sound Editing, Music Production Speaker Stand for Desk | Black",Audio Array,IN,"₹ 3,60,533.40",115,₹ 0.00,₹ 0.00,113,11
FBA79380,AM-C46,B0D3M1B4Z8,"Audio Array Professional RGB USB Condenser Mic Kit | AI Noise-Cancellation, Mute, Monitoring & Volume Controls | 192kHz/24bit Studio Quality | Gaming, Streaming, Podcast | Mac/PC/Mobile | AM-C46",Audio Array,IN,"₹ 2,95,664.21",101,₹ 0.00,₹ 0.00,100,27
FBA79972,M8,B0GCP1J2HC,"Audio Array Latest 2026 Edition Audio Mixer 8 Channel Hybrid USB Sound Mixer (6 Analog+2 Digital) Recording Monitoring & Live, 192kHz/24-Bit OTG, 99 DSP FX, 4 XLR Mic Inputs, Phantom Power, Hi-Z M8",Audio Array,IN,"₹ 2,74,711.82",40,₹ 0.00,₹ 0.00,39,3
FBA78973,AA-19,B0CF5R3V95,"Audio Array AA-19 2in1 High & Low Profile Mic Stand | 71cm reach | Premium Metal design with Built In Cable Management | Flexible Position adjustments | 2Kg Weight Capacity |5/8"" to 3/8"" Screw Adapter",Audio Array,IN,"₹ 2,57,499.10",80,₹ 0.00,₹ 0.00,77,4
FBA79904,PB-10 (AM-C2+AI-04+AH-60-BL),B0FTVQQVDC,"Audio Array Professional Studio Recording Bundle – XLR Condenser Mic Kit, 2x2 USB Audio Interface, Closed-Back Headphone, Boom Arm, Pop Filter & 48V Phantom Power| 24-bit/192kHz Podcast Kit - PB-10",Audio Array,IN,"₹ 2,18,452.56",26,₹ 0.00,₹ 0.00,25,
FBA79968,AI-14,B0G53M9258,"Audio Array 8-Channel Hybrid USB Audio Mixer with 8 Analog + 2 Digital Inputs, 48kHz/16-Bit Processing, +50dB Gain, Combo XLR, Phantom Power, Hi-Z, 3-Band EQ, 99 DSP FX, Balanced XLR Output | AI-14",Audio Array,IN,"₹ 2,07,086.55",38,₹ 0.00,₹ 0.00,37,8
FBA79839,AH-45 BK,B0FQBXS6Y2,"Audio Array AH-45-BK Studio Monitoring & Live Recording Headphones | 20-20KHz, 32 Ω, 100dB SPL | 40mm Depp Bass Closed-Back Driver | 3m OFC Cable | 3.5mm + 6.3mm Adapter (Black)",Audio Array,IN,"₹ 1,78,108.72",133,₹ 0.00,₹ 0.00,136,21
FBA79103,AI-10,B0CM6NTWBP,"Audio Array AI-10 Professional Live Soundcard|1Ch Mixer |Bluetooth | 3 Condenser Mic Inputs, 2 mobilephones & PC/Mac Outputs | +48V phantom power, 4 Voice Modes, Denoise, built-in FX | Gaming, Karaoke",Audio Array,IN,"₹ 1,57,033.03",61,₹ 0.00,₹ 0.00,60,22
FBA75674,AM-C2,B0B4G19R58,"Audio Array AM-C2 XLR Condenser Microphone Kit | Boom Arm, 2M Cable, Pop Filter & Mic Cover | Compatible with Audio Interface, Mixer & preamp | Recording, Podcasting, Streaming, Home Studio (Black)",Audio Array,IN,"₹ 1,49,155.09",47,₹ 0.00,₹ 0.00,47,9
