(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FN4DSQ6P,B0FN4DSQ6P,"White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand",893,58,0.36%,1.34%,"1,474",96,0.46%,1.61%,99.08%,87.32%,79,3,8.85%,5.17%,"₹42,860.00","₹1,644.00",71,3
B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","10,843",162,4.37%,3.74%,"14,711",232,4.55%,3.88%,63.52%,47.86%,66,1,0.61%,0.62%,"₹2,30,934.00","₹3,499.00",66,1
B0DQCWRG3H,B0DQCWRG3H,NexLev Ionic 3 in 1 Hot Air Brush|1.5 Inch Barrel |Volumizer Blow Dryer & Styler|Ceramic Tourmaline Coated for Heat Protection|1200W|Dual Bristle for Tangle Free Styling|Salon Like Styles at Home|V-03,"1,931",7,0.78%,0.16%,"2,858",9,0.88%,0.15%,69.33%,40.00%,38,0,1.97%,0.00%,"₹71,964.00",₹0.00,38,0
B0FN4D3C89,B0FN4D3C89,"White Mulberry Economy Fixed TV Wall Mount Bracket for 13-43 Inches |45kg|LED/LCD/Smart TV's, Universal VESA Compatible 75x75,200x200 mm MAX Slim Wall Mount Stand",702,25,0.28%,0.58%,"1,041",35,0.32%,0.59%,100.00%,100.00%,36,2,5.13%,8.00%,"₹15,315.00",₹828.00,35,1
B0F43P6D23,B0F43P6D23,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office Cleaning machine | 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner| 4 M Cord |1050W |SC-05,"6,200",120,2.50%,2.77%,"8,151",162,2.52%,2.71%,58.35%,55.29%,34,2,0.55%,1.67%,"₹94,368.00","₹5,898.00",34,2
B0DM6BB3VT,B0DM6BB3VT,NexLev Calf Massager | Daily Use Leg Massager for Sore Muscle |1 Piece | Hand Like Massage with Air Compression | Improve Blood Circulation & Relieve Pain | 2500 mAh | Large Belt | Type C |CFM-01,"1,432",35,0.58%,0.81%,"1,994",42,0.62%,0.70%,86.71%,95.24%,33,0,2.30%,0.00%,"₹90,167.00",₹0.00,32,0
B0DB5VG39T,B0DB5VG39T,White Mulberry |DIY| Economical Gas Spring Monitor Arm | Desk Mounted Monitor Stand for 15-32 Inch Monitors |9Kg Screen Capacity|VESA 75X75&100X100| Adjustable Metal Desk Monitor Mount-(Single Screen),"1,059",46,0.43%,1.06%,"1,529",80,0.47%,1.34%,90.69%,88.37%,30,3,2.83%,6.52%,"₹76,121.00","₹7,797.00",30,3
B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",932,23,0.38%,0.53%,"1,479",32,0.46%,0.54%,29.06%,37.50%,30,1,3.22%,4.35%,"₹46,636.00","₹1,848.00",30,1
B0DB5W4TCP,B0DB5W4TCP,White Mulberry |DIY| Height Adjustable Monitor Arm | Desk Mounted Stand for 15-32 Inch Monitor | 10Kg Screen Load | VESA 75X75 & 100X100 | Adjustable Metal Desk Monitor Mount - (Single Screen),861,42,0.35%,0.97%,"1,221",59,0.38%,0.99%,93.31%,74.36%,32,3,3.72%,7.14%,"₹51,368.00","₹4,797.00",29,2
B0DVC58QPZ,B0DVC58QPZ,NexLev Smart Air Purifier | Home Room & Office Use upto 220 sq ft |True HEPA 13 Filter | Eliminate 99.99% Virus Dust Smoke Odor Pollen Allergens & Pollutants | Long Filter Life |3 Year Warranty |AP220,"3,986",187,1.61%,4.31%,"5,494",271,1.70%,4.54%,42.84%,39.24%,30,2,0.75%,1.07%,"₹1,05,324.00","₹8,148.00",28,2
